percent = 1,percent = 3,percent = 5
2.862898364386371e-05,2.816989911558087e-05,2.776111216926748e-05
0.0001269524868991054,0.0001266289274280351,0.00012591013362456046
2.4660106435612973e-05,2.462279455251241e-05,2.4552599610604547e-05
1.9070171399017717e-06,1.9066874165916218e-06,1.9114228495521365e-06
6.584206468467886e-08,6.437301467125426e-08,6.760496093279132e-08
5.0003968097251054e-09,5.104650162972944e-09,4.835702226774424e-09
1.5396163206714718e-09,1.6662420563146437e-09,1.4714584044463246e-09
2.7717245234780595e-10,2.914726819720655e-10,2.424316326217554e-10
4.4157713274546e-11,4.580752248140783e-11,4.423304864491309e-11
7.302461564768871e-12,7.72105707904761e-12,2.164161105070092e-11
2.5325018211447214e-12,4.15115495126218e-12,2.4149481395832597e-12
7.605695887444304e-13,7.812138664782455e-13,1.54769294076233e-11
6.250662612996044e-13,3.077834084051825e-12,4.164329247048153e-12
8.954446581973189e-13,1.2804772421303863e-12,6.206346924481794e-12
5.0498240857967033e-14,3.15255101418529e-12,9.328934090638804e-12
1.3427281002696255e-14,1.2590024362849688e-13,1.35229793905373e-11
9.926041036397177e-15,1.6780146426303875e-11,8.212577631116428e-12
1.5249381285609625e-13,7.038538123403418e-12,4.195356486112615e-13
2.984630523933412e-13,2.8432959261276407e-11,1.6411821162321722e-11
7.854856260552541e-15,3.29506498272703e-11,4.257700462238122e-11
1.296826086807064e-13,1.2569198158859634e-12,2.409851527900676e-11
4.868310014638192e-13,7.420268923241743e-12,2.3200274795683835e-11
9.819081946793786e-13,1.1803810419351976e-11,3.4210822629830686e-11
1.6173593060102017e-14,4.4487462737029e-11,2.0217696564480532e-13
4.792595610145628e-13,1.9142166542035937e-12,6.583428121769644e-12
6.14011081156503e-13,6.493447358603043e-13,5.564167942858705e-12
1.1100965663668827e-14,2.939485340393035e-13,2.3798651340877193e-11
1.8381610408990453e-13,7.484469133318399e-13,2.8269649855323146e-11
1.4754281400627139e-13,4.709770427911331e-12,1.5673425322075763e-11
3.961025817336053e-13,4.952267848255009e-14,1.3603118498146357e-11
9.96629691135665e-13,1.8196094943088975e-12,1.692514517430579e-12
1.0465622867471914e-12,1.4738877197956557e-11,9.95223027338919e-12
1.7760397648013444e-14,2.028694154729125e-12,3.7742598815463125e-11
2.376109295109715e-13,5.021056483292782e-12,1.3477828439028113e-12
1.393883624051309e-12,2.436833061112179e-13,2.758390275450409e-12
6.398498196438187e-14,9.236450583110054e-12,1.0295956664034153e-11
1.8285848170198317e-13,1.9515919287837664e-13,4.2176014969867023e-13
2.6283221442990967e-13,3.1928769971388424e-13,4.705920681787756e-13
2.3583700953921595e-14,1.65444657432952e-12,4.786106703018781e-13
9.494986321250323e-15,1.8437979129225367e-11,6.234994626632684e-13
2.9193827838311767e-14,1.07111672259071e-12,5.630295501098436e-12
1.0697259140367865e-13,1.4187877023706071e-11,5.5693621379729725e-12
7.562594552706873e-13,3.011208058736331e-12,1.2913281168815194e-11
2.787360296371878e-13,2.3215327237560966e-13,3.101075798034886e-13
5.267326625895472e-13,9.743922669183266e-13,4.2582872749107954e-12
7.288773264857652e-14,4.557277362188305e-13,1.3662514060034853e-11
3.8638659471599725e-14,1.0227121373071987e-12,2.8144079221216836e-12
1.0313198695900979e-13,1.0815085728036532e-11,3.0157927610583223e-13
4.1717920031345994e-13,1.7725584283931267e-11,3.864514573253284e-11
1.7540510422264613e-12,5.473162497086451e-12,3.162414019535191e-11
8.941942482026213e-14,1.1097577631188325e-12,1.5046830482227645e-11
3.1689980378181047e-14,2.2120811866507423e-12,4.912393989734055e-13
3.6963737540026957e-13,5.905915037985943e-13,2.3008153436860095e-13
3.8895757730002085e-14,2.614778943445956e-13,7.577960053963557e-13
2.304729307894199e-13,3.1713795142114236e-13,9.528385392691434e-13
3.71626065081417e-14,5.078354906060267e-13,3.295868370128075e-13
4.959078630861564e-13,2.9112786667904482e-12,1.25927315150622e-11
1.6935602558406795e-12,1.330246817993657e-12,1.0532732199078996e-12
1.9757981919031413e-12,7.784122735109684e-12,1.7880611665585213e-11
2.3369980012694354e-13,1.5505497464311727e-11,2.0558222073517673e-11
4.4773755581889044e-13,2.3542616959176367e-11,1.024698254325921e-12
1.0125066530175853e-14,1.4541063069088214e-13,6.38220233602821e-12
2.5130952821669027e-13,7.379336453726765e-12,8.811016207625235e-12
3.275359161729365e-12,1.9875477943411967e-12,1.765753590942187e-11
1.819212816661141e-13,8.055051188564982e-13,6.662969839732969e-12
2.1592736843182447e-13,3.853636850624707e-12,8.698155583747112e-12
3.9079591127134626e-13,2.2088475762453406e-12,5.656045620621237e-11
2.8084908425620713e-13,2.6501318103451343e-12,1.8971960830432173e-11
8.561140767281054e-13,1.5688896512655867e-12,5.202219238894387e-12
3.8026816401497327e-13,1.5733527010672356e-12,1.2981326889449421e-11
7.064233832550791e-14,6.122509903839349e-13,3.8938879174011765e-13
2.0361416650419434e-14,1.3243045402832042e-12,1.6215117067149144e-11
3.970869154525207e-13,2.1131130442628032e-13,1.5052269904127467e-11
3.033865068213522e-13,8.442214560874927e-12,1.6371268656785551e-12
5.552860766022647e-14,1.749441035111093e-11,1.0399742854661938e-11
1.4921292610092196e-12,3.4199044245118365e-13,7.34757406988781e-12
3.475877097844326e-13,6.593676322838313e-13,2.7082981942457902e-12
1.4630029980435133e-14,2.399477094859161e-13,6.859223329511177e-13
9.619567298127994e-14,6.078113931604246e-12,1.8721461556357277e-11
2.1438176724781573e-13,3.75145588895414e-12,6.218543355740961e-13
4.1113730440910416e-13,3.290090009675237e-13,1.8056272733170496e-11
2.2290954069830983e-13,1.0310207069802601e-13,1.305711637659193e-12
2.8057830550841405e-14,3.0875075653738103e-12,4.214924244894115e-13
1.0231789013756877e-12,4.3295353571315816e-12,3.336435717997106e-11
1.2388041959633394e-13,5.435658787902932e-14,2.0198784136992788e-11
9.381887064903734e-14,4.275385236436285e-12,6.840977443818216e-13
1.1088807410597435e-13,1.4493747686928346e-13,6.3307312973967095e-12
5.768957488459308e-14,3.7487586519876465e-13,9.031876529588311e-12
5.184687186132654e-13,7.308211205201949e-13,5.269977357699713e-12
7.097836594347462e-13,4.582522316100493e-12,1.0646141691134888e-11
4.504160269006428e-13,3.3160746041357365e-12,3.160240611978668e-11
1.7502375370995838e-13,8.651853483733449e-13,2.5264860747196583e-11
5.902010290643915e-13,5.0322329766130175e-12,3.48138593984844e-11
1.180433035139701e-12,2.261372530889454e-13,2.8490531926545995e-12
