percent = 1,percent = 3,percent = 5
0.11642103182060269,0.11057827595365935,0.11224025358883825
0.11628429767411629,0.10901434691386264,0.11474159366035729
0.09988440891842384,0.09611274912095706,0.09863411458088527
0.07233124091593951,0.07085154351127594,0.07162531526867937
0.04647417186242354,0.04589854871333998,0.045754050584221585
0.027165058906025497,0.02703220046443971,0.02720625229884674
0.014922280528091275,0.015157537890067518,0.015453519591407824
0.008433451354325763,0.008625920604208269,0.008688128871258832
0.005339195350649681,0.005436810084768983,0.005393431833597465
0.0037987758861092492,0.0038235820036835334,0.0037319811105249517
0.002791793482630609,0.0027735910274537317,0.002750859278300891
0.0019535602630337983,0.0019273567227678218,0.0020166014556861067
0.0012520454868651231,0.001216441666841215,0.0013547594455529282
0.0007379729018604503,0.0006894941636204139,0.0008201163950871951
0.0004004763507544256,0.00035969684089915386,0.00045333962534026246
0.00021373197787359963,0.0001882730055530285,0.00024134203897058592
0.00011608555858332724,0.00010376695625974208,0.0001201284265256338
7.046583019397209e-05,6.21427265635005e-05,8.270735249160271e-05
5.1861731648628236e-05,4.621255408697501e-05,6.083401751740594e-05
4.4032548004776765e-05,4.018913182886307e-05,5.2971921593568974e-05
3.7171638968203456e-05,3.4895835326325035e-05,3.599168310938801e-05
3.0342728476683868e-05,3.3685695439843726e-05,2.8883647938940543e-05
2.4129278862099684e-05,3.4950501718321324e-05,2.3087665241095362e-05
1.807588706451282e-05,2.8254797895523037e-05,1.7795314556383983e-05
1.3050197133718914e-05,2.053469696731953e-05,1.5217106107890805e-05
9.149803455523687e-06,1.3734022740984784e-05,1.2404161945479278e-05
5.874843771177362e-06,6.078553533373818e-06,2.6842319372024156e-05
3.408469074301059e-06,6.096933114430961e-06,3.0615558592585555e-05
1.9276410226977734e-06,5.2905807291842725e-06,1.529311895285758e-05
1.0376863601718574e-06,8.768371019458345e-06,1.2081531123287209e-06
5.378763535034941e-07,6.211952410544647e-06,7.748141692548783e-06
3.9849850315650553e-07,7.132228332076962e-06,1.3932600513528562e-05
8.058364166044551e-07,5.724732905171431e-06,9.406104780155853e-06
1.122469175875605e-06,3.934741312496854e-06,4.3428367926191885e-06
8.554797426693129e-07,2.009210182261171e-06,1.6442336332455561e-06
2.0051787398242498e-07,4.886936679882052e-07,4.401139863595025e-07
8.31201140720493e-08,8.963176571541049e-08,1.150302280151117e-05
2.5080030908405225e-07,5.220584863409657e-07,3.4022412264794196e-05
6.79846383742022e-08,1.5414106744673103e-06,2.963061532337784e-05
1.7971678025211858e-07,5.216579124724621e-06,1.5721617524423985e-05
2.0129783457016674e-07,2.658405869949324e-06,4.1495033061512095e-06
1.4869926297744923e-07,6.250047581743805e-08,8.312116368676126e-07
3.8824184875153323e-07,3.336416923867158e-06,2.305304659522744e-06
1.3430774531543347e-08,1.453592247687833e-05,6.477351101288657e-07
8.325645489030817e-09,2.919658689208046e-05,8.827675097888679e-08
1.13611722040503e-08,2.322790972977238e-05,2.1110168431183486e-07
3.3011290952987124e-08,1.6668736710708016e-05,3.671683470393747e-06
2.9842326849783514e-07,1.0429911536697011e-05,5.94232918484384e-07
3.683617290951696e-07,1.3194582057124446e-05,8.042363353470117e-07
1.0841743154446779e-07,1.2517170156122269e-05,4.440109032311814e-07
7.401262239322046e-08,6.927335285891588e-06,3.060407349084517e-06
5.010096561985951e-08,2.774607988491904e-06,2.6585018210717257e-06
2.8368332720091762e-08,1.1447577615706965e-06,2.306442424736865e-06
9.168493337667088e-09,3.882808147802753e-06,5.797662324597943e-06
2.1858825984676457e-08,7.445976897604211e-08,9.636666812023527e-08
7.56003106107041e-08,6.39030618936489e-07,9.573710801461545e-08
4.943146808600446e-08,1.922911227523413e-06,1.919322823557259e-06
8.597926013807681e-08,2.776101663312281e-06,7.592399338590212e-07
2.1429867494562715e-09,2.6645323421541357e-06,3.0193354929683374e-06
3.842952057039253e-09,1.3043100249275283e-06,8.74573253462982e-06
2.7399988123087046e-07,1.1297267403544894e-06,1.269341775990034e-06
3.7405846553127086e-07,7.628052234132971e-08,3.5464712850523663e-06
9.078167911957757e-07,9.923922436162677e-08,3.1562333193796476e-06
1.360750557085755e-06,8.589364010444221e-09,2.1931175739549127e-06
7.129557377263885e-07,4.80470883602117e-09,3.26317114712742e-06
2.4853849558572186e-09,2.1391678663982426e-06,1.2234054593745262e-06
4.23120153891078e-08,2.3011558138728312e-06,2.5310621849883804e-07
2.904011853292602e-07,2.5770039800615147e-07,1.9997799334169675e-06
3.547738772714172e-07,1.138893758238273e-06,1.590886158086336e-07
9.763641410342692e-07,3.795541095464765e-06,9.380380695452213e-07
1.1015865509373344e-06,7.941278476270607e-06,2.181346363375838e-06
1.1112629815489247e-06,2.350657420040581e-06,2.108032621215976e-06
4.2478315196694647e-07,4.1776372086433296e-07,2.0200935042771416e-06
4.675956132698261e-08,2.918718242794393e-08,2.6201958952387794e-06
3.2141447728295025e-08,4.655310556091681e-08,7.505511300059335e-07
5.752145218718177e-07,1.5811181584538287e-08,3.1594600450569924e-07
3.3855282934778767e-07,8.243213385345617e-07,3.5826947346550743e-07
4.5419312842973216e-08,6.779656031492885e-07,6.77022911924556e-07
4.1048791194971674e-08,3.834972557916169e-08,4.110833614441191e-06
1.1286773578878442e-09,6.48956205628874e-07,2.1709401700854914e-05
4.158602079453195e-09,6.17078964272219e-06,8.636588463823595e-06
1.8320579164791915e-08,7.061543968832356e-06,2.471753746242416e-06
2.086661415841324e-09,6.964697940954045e-06,7.695665376469036e-06
4.263832509109396e-09,1.2210840371867502e-05,7.004687035702567e-06
1.659661346158366e-07,6.243668683691181e-06,1.419026258795615e-07
8.712161548551199e-08,7.942808839771099e-07,2.0398794795332872e-06
4.056369585903037e-08,4.4875105293539696e-07,2.2076071320112557e-06
3.0605137226906897e-09,1.1104925252135188e-07,1.4930766925816424e-06
1.1287528565180567e-07,2.1645502394205138e-08,5.294649144406265e-06
2.2360724250350754e-07,4.130524135568857e-07,3.285959633461492e-06
1.5179330669341173e-07,1.7642490201579572e-07,7.40534153704089e-07
2.2526334009260695e-07,6.873581401698719e-07,3.815605344204377e-06
5.962808519758306e-09,1.3680759452080778e-06,5.160324294294307e-06
1.4931885057495276e-07,4.620078444544809e-07,3.6409972514508924e-06
1.0592367465275023e-07,3.348822513168736e-08,8.3651282613511e-06
2.81962835254484e-07,9.090791121790066e-08,2.5543274517009682e-05
2.0448607094555875e-07,3.0212535270279985e-07,3.0374215911398055e-05
2.1549370476744767e-08,1.7604783453413302e-07,2.0673578209403754e-05
2.039161674924683e-09,4.5574966357419525e-07,6.3538092593787845e-06
3.7510675685106185e-08,6.823136312355957e-08,1.7405502557744748e-06
2.5467024354067905e-07,2.5733142319809587e-06,2.883656146382042e-07
4.674818038708665e-07,3.1081558373279114e-06,9.158915524512526e-07
4.576096845838017e-08,2.827558671953757e-06,3.0865395256791723e-06
1.2405553471823006e-08,2.474010190489043e-06,1.3916334567904651e-05
2.15641526912194e-09,7.041890734578366e-07,5.461053011015382e-06
9.400815489376426e-08,1.2755927880868556e-07,3.0043791739131024e-07
3.452108055157881e-07,1.559775444314116e-06,1.5886083568296366e-07
1.012123330148156e-06,5.316780164725397e-07,2.3161778153085127e-06
3.727675386926286e-07,2.057208529299202e-07,7.199729529669354e-06
5.577437213772638e-07,6.151325865099782e-08,1.0711198534910846e-06
2.8416533589700826e-07,2.543348897513265e-06,2.2021525979905887e-06
4.291686172258288e-07,3.530434141782885e-07,1.7003566232043142e-05
7.999211593190115e-07,8.232099885496391e-07,3.64351461155792e-05
2.395365177033745e-07,5.955017118247299e-06,3.170095355287216e-05
2.2780937294769402e-08,5.507500550125666e-06,1.9714018295381975e-05
4.502070966297562e-08,1.732182247179615e-06,2.9406725192986085e-05
3.7728289464905124e-07,1.4690928621385155e-06,2.216092024797801e-05
8.076344551129301e-07,8.622631972281284e-07,3.557372442103087e-06
1.2572351359629243e-06,3.135458656641929e-06,4.622894079243622e-08
1.2718014418386233e-06,1.934377551090766e-06,1.090059417915825e-05
1.1834752133578114e-06,7.349323115217457e-07,5.214250194110487e-05
2.9189982890247467e-07,9.190007197539189e-07,5.180945523650824e-05
4.34804149702838e-08,6.618493201408126e-07,3.9017909963671115e-05
1.4520467851072329e-07,8.163653059246805e-09,8.199741217577818e-06
1.8744198374919107e-07,9.02405698244366e-07,1.1715818267592336e-06
2.1217071597734378e-07,5.209223532275823e-07,3.6812645076934616e-08
1.506904504989883e-07,4.090133370822595e-07,1.0670867911819774e-06
1.9228895167243136e-09,1.9545124560614315e-08,1.088657599470068e-07
8.621790715463004e-09,1.1898828780080961e-06,2.588627719487861e-07
6.636247242864252e-08,1.6389815575799659e-07,3.496028778920943e-06
3.6002388716098865e-07,3.2849269503947346e-07,5.681307016368974e-06
2.933297027820097e-07,3.315629605092303e-08,4.553695685061764e-06
2.0334303338939149e-07,2.571638636241174e-07,2.3657224452528758e-07
5.770923617385494e-08,3.927942743092962e-07,4.923810063985149e-07
2.1646546086547426e-07,1.0656369373943022e-06,5.10264893544566e-07
5.216131060041976e-07,8.617461221213755e-08,4.62400111716879e-07
4.1295519794362076e-07,5.182610515065544e-08,1.8164780327205373e-07
8.504759625423678e-08,3.0824837543101476e-08,8.862780906179791e-07
2.6751089362030944e-07,1.4776400344166567e-07,3.3148688760616106e-06
3.3676640633094573e-07,1.7605565172646705e-07,1.9852859475320674e-06
2.978867893304614e-08,2.988487965143793e-07,1.2963562167456187e-06
1.549341079978513e-08,8.94589204330398e-07,1.6456556620624783e-06
3.862091318362965e-08,1.320776641215477e-06,4.580346702170486e-06
7.997014371727536e-08,6.473874127608794e-08,7.061151566282245e-06
2.264903398651911e-08,1.8427289079901628e-06,6.815311564057064e-07
1.6438675862080836e-08,1.541532645096618e-06,6.137064936696033e-07
7.953068515630799e-09,5.163152083056922e-07,1.6409604571423806e-06
4.5796070069163957e-07,2.1396099637924437e-07,7.822742224130442e-07
8.751853929628948e-07,2.4481605460646635e-07,3.873922698669166e-06
2.1141931512711378e-07,3.316001211332699e-08,2.2471223002223496e-06
1.709527639508422e-07,8.288723655448079e-08,2.0674387535339237e-07
4.601899034937429e-08,5.916850052641263e-07,2.4976287868524e-07
1.2977087386464411e-08,1.987539987567746e-06,3.0345891557225824e-07
4.8162909446238616e-08,1.507631503240143e-06,7.824489822509941e-08
4.0067253886351054e-07,1.0772610342934882e-07,1.5826835535353708e-06
1.3100620361001471e-06,6.405839164695005e-07,9.764785304519806e-06
1.3976040613992252e-06,7.0199680634244884e-06,9.00253136530526e-06
8.863195264214919e-07,1.0153107908683514e-05,2.670045817853603e-06
1.321205578203775e-07,2.7161642973334975e-06,3.623451866059533e-07
3.2762497274474356e-09,6.532714933850607e-07,2.293282768865847e-06
5.51617324666199e-07,4.152179587606708e-07,5.868834081380235e-06
3.8171037490203887e-07,3.9616362491671205e-08,1.2309733805708159e-06
7.126173361571337e-09,3.3930152243773033e-06,4.922238500016766e-07
2.9014981281070337e-08,1.4366249790356914e-05,1.6375286817462036e-06
1.5506229058804253e-08,1.0196965718935887e-05,5.66923169999058e-07
1.1824811603148256e-07,3.362705820955273e-06,1.3607057408246954e-06
1.1461506167062789e-07,2.4076547355278507e-06,1.5200168263705059e-06
4.8547435266561316e-08,1.3514432333967694e-06,3.842815263651481e-06
4.625675201313982e-09,1.83187025565096e-06,1.9164290946918047e-06
3.399921859372763e-09,4.442767175937997e-07,4.8035325737727006e-08
3.5367691417268686e-08,5.146097406350993e-08,8.82584987786365e-07
3.6537792253443136e-08,9.87748198956577e-07,1.7817856800873724e-07
1.6939727779881032e-07,4.431938590944234e-06,3.8216735140926125e-06
1.9200026323956683e-07,4.903435856902873e-06,1.1955031537575909e-06
2.3874869361133376e-07,1.5253480790396753e-06,9.099294147112067e-07
4.876232360473993e-07,9.445506081806803e-07,1.2387753359934525e-05
8.97171551329521e-08,1.7863375074946292e-08,1.4510928824932662e-06
2.2891330541443275e-08,2.410795594136264e-06,2.366817838283655e-06
3.512880868443583e-08,5.712822817788195e-07,3.054248006080546e-05
