percent = 1,percent = 3,percent = 5
1.111835909835309,1.1215945999916292,1.1253423269050156
0.04204625883915652,0.04239352840470303,0.0402885205867234
0.00044215118617656386,0.0004738379985794969,0.00038331196534251925
0.0002509170250033648,0.0003223732887531058,0.00025040825308834166
3.3857518715256394e-05,3.1157561398701574e-05,5.575246124508464e-05
5.39695347913989e-06,2.023961329447831e-05,3.443677933379746e-06
2.0495515038803575e-06,7.804331677130266e-07,2.6839480356506174e-05
1.7340769670480933e-06,6.59106431954996e-06,4.396093722800194e-06
2.0133682779170183e-06,9.3880035661393e-06,2.6069886117491507e-06
1.9750802133370308e-07,1.3341596198628952e-05,2.22657064834751e-07
2.1683463121664793e-07,2.0009166400838967e-05,2.276018220693123e-06
4.3120828025785617e-07,9.955053816409619e-07,8.60972122341132e-05
2.0580656917378656e-06,6.7742095517136675e-06,8.565024799659908e-05
7.615755403232569e-08,2.5694332984699663e-06,3.9499212247265345e-05
2.876943807482902e-08,6.950191620511441e-07,2.189422444419607e-06
1.111791688006376e-07,9.533598764040265e-07,4.0573421629655375e-06
2.8091822011378967e-07,1.9934167955190934e-06,1.93071772801072e-06
2.1837639988751118e-07,5.441746640843276e-06,5.2309945156189984e-05
6.955900753889734e-07,2.789833693067648e-06,7.58379005176655e-06
1.766890727904051e-07,3.032506617665931e-07,3.835556402632353e-06
2.1460605510631597e-06,3.124011146950371e-06,5.614031659778063e-06
3.5633050482118885e-07,1.1140592100041523e-05,3.9110744623267576e-05
1.419715617143947e-07,2.375973935102849e-06,1.395392083583856e-05
4.834322756445976e-07,1.623235827660241e-07,1.1511871311946632e-05
7.668417953474466e-07,3.9889648378234394e-05,2.699581319312485e-06
3.8773629894934974e-08,1.0248178460334773e-06,2.8088600936278016e-05
1.2532014098950325e-07,3.671243653956502e-06,1.391462298903151e-05
2.8297013291407756e-07,1.1305677090738665e-05,1.6779011592193236e-05
5.136101351598895e-07,1.0678919321504e-05,1.2215040565954712e-05
3.82418375695919e-07,7.347240759467987e-07,5.679777158308611e-06
1.6663196090938819e-06,2.1235060374001692e-05,9.372444155700292e-05
2.8654683946958088e-08,2.4107414317853915e-06,1.0680393324686315e-06
1.0834003445360737e-06,2.288379213452329e-07,1.453475655278387e-06
9.161421861350868e-07,8.205378602867417e-06,1.908975506812602e-05
1.2396864409976377e-07,1.1295299188259451e-05,7.025460746522025e-05
7.566578851455834e-07,3.409004985211938e-05,1.694608326448174e-06
2.8720716136695793e-07,2.7133607554292465e-05,1.3801743965105465e-05
2.2296580556880084e-06,4.5009257452064547e-07,3.7686608515552017e-06
2.577464326497736e-07,1.0395577932792116e-05,7.481589293081558e-06
7.314643411463724e-07,3.87373044135446e-06,1.2918736577663847e-06
1.8016526919278518e-06,2.8395873503346317e-05,2.5544931392548537e-05
3.61184844637485e-07,3.445250543529271e-06,5.7387996059361264e-05
7.085560910077534e-08,5.902928916461184e-06,6.494461342864197e-05
4.601754176148637e-06,4.257691928015326e-06,3.336331461097763e-05
2.296932706782947e-06,6.037632158391325e-06,1.7748187396887535e-05
3.713615898371529e-07,3.808323176923406e-06,9.327238921672207e-05
1.5122459016520196e-06,3.2907561857198294e-05,9.461501181266757e-06
9.435347828131925e-08,4.313971865493386e-06,3.684449243581848e-06
1.638067325232929e-07,3.629996327817869e-05,5.743026895108752e-06
2.0791526686062856e-06,1.2738046693422833e-06,1.7187655430703624e-05
2.347882080091402e-07,4.5930054715273223e-07,2.188122018815792e-06
4.785252230546985e-07,7.995658498436327e-07,4.129086036145597e-05
2.2260377062989122e-07,6.681753813851161e-07,2.411969652632587e-05
5.573782167022493e-06,1.3834838751124354e-06,1.595886513883053e-05
4.2850704703442516e-07,7.713107293991285e-06,8.31840646364663e-05
1.839507908633649e-06,1.291233995300094e-05,1.3279426823297646e-05
9.663536850271586e-07,2.5116147438785464e-06,3.9751700215318554e-05
4.022319544516884e-07,1.0530338975497818e-05,3.56912640479226e-05
4.302398251067288e-06,1.8424112879127486e-06,4.610124785776536e-06
6.460096232056869e-08,2.398356179818641e-06,5.394488915373788e-06
7.709458145841671e-07,1.1740022293336208e-05,5.661207255969837e-06
6.562896030459404e-08,7.482724192120482e-07,4.472440973456072e-05
7.777565121501778e-08,8.605947281864942e-06,5.251279682662377e-06
3.057542589584037e-08,2.775392403924109e-05,2.528865237493385e-05
6.253467212796701e-06,9.64536416059196e-06,1.8555707220634795e-05
2.93323386389295e-06,1.1417114536504134e-05,1.4985632741054401e-05
4.377039417014766e-08,3.1357949394559634e-07,4.673048497292468e-06
1.6072468609089667e-06,1.4785933870894239e-05,3.0706325737627474e-06
4.243227163280991e-08,2.1077820912801468e-07,6.956039319820975e-06
5.845763391932789e-07,2.8301035151700074e-07,6.2073201825051954e-06
1.3971999327188643e-08,3.3278576868596916e-07,1.56074466455765e-05
3.331672651149367e-08,2.2335761012864544e-06,6.5536038812469e-06
4.150103778611585e-07,2.1799639474409874e-06,4.026062578642933e-05
1.1375148898049892e-06,1.868979307592919e-06,4.437820970845535e-06
4.003019123439276e-07,2.3145157867374297e-05,1.4594175622286632e-06
2.129112471831396e-07,1.1446668486368346e-06,1.306989729875983e-05
2.241706223718737e-07,3.3362222728335577e-06,1.244881606731328e-06
