percent = 1,percent = 3,percent = 5
25.171410244830252,24.93958301272666,25.121005106632936
28.94768659064482,28.78163267270766,28.96783133369092
11.127521246252586,11.086916823577706,11.183182874536083
3.1271486886005793,3.107153383571901,3.1269054614747858
0.791728125842191,0.7832528061578197,0.7735227613648622
0.1935648462186563,0.19437524156777822,0.19094803663155768
0.04478629817117902,0.04482602430389159,0.04493965144854853
0.010726821004373605,0.010942547656226676,0.010750480161799487
0.004864922760500922,0.005134131799032353,0.00441649424671944
0.0038950278131868756,0.0038619600698754277,0.003398012215313777
0.002790728009984918,0.0029531062102735087,0.0024907107504606794
0.00159465378218236,0.0017637676309728693,0.0013659573847388873
0.0006882432072444736,0.0008253345204964273,0.0006840713151750279
0.0002896897294445137,0.0002848800998800051,0.0003607860424768857
9.388502689891124e-05,0.0001403413271509614,9.132285583591822e-05
3.160163306898937e-05,3.224975518866565e-05,0.00032779619368615874
1.4320556367278618e-05,1.625550478992559e-05,0.0001851897702607897
7.695496230550759e-06,3.234388357170791e-05,0.00013393481674821902
4.603940548705632e-06,9.584010569125256e-06,0.0001327529621582911
4.323239490092206e-06,3.4406197468212797e-06,3.9842296842113224e-06
1.2196282349866679e-06,1.4040165496081796e-06,6.581215104961822e-05
9.198947097906602e-07,2.3003906405423933e-06,3.952498491606847e-06
1.0669798766897712e-05,2.1051779069444327e-06,5.7286319840539785e-06
1.4032040814732403e-05,3.369241190998476e-05,8.515424014641712e-05
1.9778435931322615e-05,1.5577104394170403e-06,6.22202942147563e-05
1.0296704491129996e-05,2.8419205396732437e-06,2.26308432862766e-05
8.085114643238695e-06,4.550395191102929e-05,0.00020461333127375084
3.4665575095545316e-06,2.2278866209751776e-05,0.00010791344354451871
5.909118439468005e-07,2.770910502883705e-06,0.00017653219047909116
2.900877774639595e-06,4.593916458088405e-06,1.2040303217457839e-05
2.564220731525976e-07,1.0184653623170463e-05,3.4801641014116666e-05
1.1309687860139198e-07,1.0351648790401059e-05,2.096226025483038e-05
2.6862723658320507e-06,4.396345616228645e-06,4.6574206962934005e-05
6.668393328070922e-07,4.3681940241687517e-07,3.3780898734440213e-05
2.0090331694067026e-07,4.1838210748345696e-07,4.8294283541213e-05
1.4090684283053332e-06,4.488535653385215e-07,1.5728166185927306e-05
2.270888240171156e-07,8.743520835061812e-06,3.417907846314678e-05
2.665987020000795e-07,4.2358519757275843e-07,7.948695405326889e-06
1.8553947695276144e-07,5.156190910175411e-06,1.0859055425353679e-05
5.918924643909703e-07,6.908981640643006e-05,3.489367690811899e-05
2.1659501513782567e-07,9.547476875323138e-05,4.234543623453023e-05
2.0762745966596312e-07,4.2121588238733816e-07,3.215551263633843e-05
3.117520481075376e-07,2.7954655782384872e-06,1.7047824501598045e-06
2.8960238494229205e-06,5.252341590628759e-05,2.4806999805409886e-05
8.384097031729964e-07,2.5291636765519726e-05,3.47135876676228e-05
4.3644995301077734e-07,2.8321298885316237e-06,3.539945505989654e-05
4.825174668403261e-07,5.1315903640033154e-05,2.1187729059197892e-05
1.3771894487678003e-07,4.0933042518566436e-05,1.093433748148448e-05
4.239470536970016e-06,1.888492610395346e-05,1.5500706041975926e-05
5.883844826574222e-06,8.038935009784547e-07,3.263195251615534e-05
1.5898271735101192e-06,1.4661503286559234e-05,6.0113478314552244e-05
2.848620811004194e-07,2.272747339721305e-06,9.970459142587485e-05
2.9524886530113154e-06,7.412550045994692e-06,3.8752861166351334e-05
2.07976818871997e-06,1.6844786228165828e-05,4.069917713885305e-06
1.0249911881928025e-05,2.374233662032694e-06,1.8413473737975096e-05
6.93283954482529e-06,1.025624650564132e-05,8.719517406441519e-05
5.517443357768195e-06,6.838813509884456e-05,3.0879622864081586e-06
6.082740363173769e-06,7.66158703357991e-05,8.158916119359625e-05
8.156990314213453e-06,7.860568290041486e-06,1.1846778319995722e-05
7.061086601420116e-06,6.865301938905037e-07,1.530808659417001e-06
1.931364742054464e-06,6.092074367963659e-06,3.44765385602203e-05
8.229669184344438e-07,1.763153597632732e-05,0.00013215430884256518
1.9823454875181078e-07,8.990836384575858e-07,7.928312901025381e-05
3.2974999586071437e-06,3.1593356151186364e-06,2.699644698072082e-06
1.781918405730163e-06,7.09859008786525e-06,2.088312934608472e-05
1.560145829334524e-07,3.467420665043254e-05,1.6068079017146822e-05
1.1846404706017431e-06,1.8210074863483928e-06,3.9592531972386494e-05
1.6565144813549196e-07,5.207337253041475e-05,9.238784617055428e-06
6.070648515126594e-06,2.7346890922731902e-06,3.804807170810009e-06
6.753632381317254e-06,3.2082749220737555e-06,2.8963387042311263e-05
2.5606377404026584e-07,2.7437235675735613e-06,6.046405314131626e-06
9.54063843595108e-07,1.5684953454824709e-06,3.967115865692134e-06
1.6863965249868842e-06,4.34054815337503e-06,2.256390057337711e-06
5.048628730516399e-07,1.0087369246112588e-05,0.00012586384187179549
1.6756996549874326e-06,7.622912253548196e-06,2.3504470747223207e-06
4.058441150208082e-06,4.9553618983900965e-05,7.216560072183256e-05
4.2503123293501385e-07,1.5714539233934115e-05,4.684688908825219e-05
3.683193185672245e-07,4.277794162323854e-05,2.5951400969999197e-05
2.5295272293121177e-06,4.4562241301362366e-05,1.530377595774968e-06
1.2321171593115577e-05,2.5342030456218038e-05,1.8323264619249077e-05
4.248616702050736e-06,6.590885612247125e-06,6.757731434460085e-06
3.1539659784949784e-06,1.1547786659820408e-06,2.4804232281169002e-05
3.557567735612941e-06,8.459760233115044e-05,4.362937118862639e-06
8.725416541278776e-07,1.256708234167032e-06,5.1011244791353796e-05
6.179639657799402e-06,1.896110917958704e-05,0.00035706447875096827
1.8604725091002396e-07,2.1629213163561154e-06,0.00029267324643435287
1.4722771868033346e-07,1.130802744903675e-06,2.2179010331641503e-05
3.171239162578702e-07,5.644629620023801e-07,6.0640996320087415e-05
1.6348759874551744e-06,2.165807164626371e-05,3.961549440388711e-05
4.851216908934215e-07,0.00011979706160986224,3.4058271397850513e-06
9.19854287250635e-07,2.9329166408693198e-06,1.5987762367509577e-05
4.970079990817601e-06,3.6358744308241776e-05,2.3865835134228786e-06
1.2850788065728572e-06,1.581575547993554e-06,4.511879526488544e-06
2.6237591623531767e-07,4.921586371344876e-06,1.599014234578801e-06
1.810678878488716e-06,7.880439973630063e-07,4.024332945727504e-05
4.512645462943843e-06,7.914472802367118e-06,5.586347254747776e-06
1.851322833153184e-07,9.143806109007992e-06,6.129028635886074e-06
1.317634881001423e-06,2.3340064127376017e-05,5.4865451825278605e-06
1.481455237348367e-07,2.2441004313004754e-05,1.9053905521405308e-05
1.6077610850137273e-06,1.5850522759565736e-06,6.1185936692726e-05
3.28176104379338e-07,3.76629485598702e-05,8.577847445959113e-06
1.0579185762323478e-06,4.8886000564501854e-05,7.212220111562561e-06
1.7168074475037625e-06,1.6445049076196014e-06,8.627453560730142e-05
2.1758379442531223e-07,8.979126726070963e-06,3.653151359045293e-05
6.288595309489345e-07,1.653629010022309e-05,5.611594292268813e-06
1.2233580538368571e-06,1.8127599588679594e-05,6.318660269462282e-05
1.746177541341288e-06,9.602339997341676e-07,0.00024803886789964154
8.74011907159823e-06,4.769248892498459e-06,0.00010867055317512231
2.2456903166303293e-06,3.142912043307828e-05,0.00011148403921012337
1.2456890361397221e-06,1.4512406380661975e-06,0.00017020999956464652
4.841934589670519e-06,6.403858179277101e-06,4.002968209930916e-05
5.011870287438422e-07,5.952102157251767e-06,2.4346074776066266e-05
2.5408405975157664e-07,1.0820375674138302e-06,0.0002526514542381097
4.2233324574956536e-07,2.5284267758254425e-06,1.859136969882328e-06
