percent = 1,percent = 3,percent = 5
0.11725394633341835,0.11642834096285277,0.11482993783671326
0.11740681727079612,0.1164458761637865,0.1201428550150611
0.1003144957120093,0.10237843306829014,0.10232382656020034
0.07262752090204463,0.07426888665075958,0.07495825361086571
0.04663629209824258,0.04751901443274105,0.04825770574331387
0.02742920394731795,0.028226239431545074,0.028417562408373585
0.015274316482279747,0.015603330117189755,0.015878237060735895
0.008697693923173114,0.00880221947285601,0.008781665120085562
0.0054501719229285385,0.005417107959579747,0.0053921636046504896
0.0037573705112040954,0.0037380875818308844,0.003766406641516225
0.002642332177903285,0.0026533306094487894,0.0026680147839878245
0.0017592929270304216,0.001761288073359257,0.0017652033368914203
0.0010752419144929534,0.0010418151847534094,0.0010644101471486127
0.0005952506442495735,0.0005755675428183075,0.0005824358917626179
0.0003082382418369969,0.00030337761938302265,0.00029877390634350877
0.00015762376183940048,0.0001548241714672864,0.00016096910953022718
9.283187830463362e-05,9.737619692921222e-05,9.310598047951294e-05
7.426407391581976e-05,8.337272378151636e-05,5.877145642012591e-05
7.248627438688997e-05,7.524061731489494e-05,5.091364152884247e-05
7.048142487612295e-05,6.672597058353617e-05,5.071113571026944e-05
6.712179432898477e-05,6.792535613383694e-05,3.8136364657221874e-05
6.370329185843683e-05,7.391561907063914e-05,2.853364692596865e-05
6.351393519768272e-05,8.096406283236298e-05,2.5130311815201377e-05
6.473695908769923e-05,0.00010352494310172083,2.0994600691442645e-05
7.353684112443125e-05,0.00010945716040130326,2.9046656538658796e-05
7.175755211607322e-05,0.00010240051895920898,2.994293363013546e-05
7.541886105220576e-05,8.988670868418915e-05,5.426045401921007e-05
6.935293462224401e-05,0.00010505009550711455,7.136971269416523e-05
6.292887031597003e-05,9.240505724944909e-05,8.290097118910643e-05
6.499929236212911e-05,9.075311879413367e-05,7.34725480471045e-05
7.349662980382364e-05,6.426709483022283e-05,4.1840318271022383e-05
7.760753818010387e-05,6.739864420991704e-05,2.7133974218751914e-05
7.409165887232654e-05,8.83151892674988e-05,2.3055783717293735e-05
6.521546989946047e-05,0.00010605103728932455,6.073701613265992e-05
6.296501026128034e-05,0.00010158791390700712,8.197623142560596e-05
6.197877284919842e-05,7.533254813262512e-05,9.379305284923953e-05
6.665295026360034e-05,4.947616652395925e-05,7.824988073690123e-05
7.590143987025172e-05,2.1478779314623413e-05,3.172558650212305e-05
7.155407459706961e-05,8.710269898694583e-06,1.578431533347078e-05
