percent = 1,percent = 3,percent = 5
2.8509018151427184e-05,2.765605116321611e-05,2.893721690761531e-05
0.00012682847480939888,0.00012612674028166185,0.00012709256600945652
2.464354624524502e-05,2.457732683856484e-05,2.470516439928165e-05
1.9071733655906388e-06,1.912776092825763e-06,1.8991399584256678e-06
6.60764233164618e-08,6.57991362756683e-08,6.658599729697741e-08
5.006662098232691e-09,4.785752689257629e-09,4.844742411527821e-09
1.5542757659216974e-09,1.4509042277755726e-09,1.4059789513750633e-09
2.6941277949111836e-10,2.8325775524072123e-10,2.308867713370484e-10
4.4199184997886904e-11,4.867347522356486e-11,3.554456338207814e-11
7.29065993482107e-12,7.102742142919878e-12,3.283074483975598e-11
1.4998566311171847e-12,2.038436934899874e-12,2.9681405181508e-12
6.801955251216275e-13,8.236719330654248e-13,1.8376251937145487e-12
1.1691975584820089e-13,2.2841556517328677e-11,5.063068126679901e-13
2.1318681946864282e-13,7.108053720954244e-13,1.833308085073518e-11
1.1314131520504138e-14,2.4768335500248155e-12,5.26643104132121e-12
5.5016897912268404e-14,5.589554644181389e-13,4.267465702315083e-12
2.121655265807021e-14,2.494875729166018e-12,1.5168622944715417e-11
3.583566002075605e-14,2.2352571416980112e-13,1.2001367397682806e-12
2.56167806032796e-13,1.1546287435534273e-12,2.30110700904865e-12
7.39683098164216e-14,1.8517111123871644e-13,8.018473108997786e-13
3.903557340055891e-13,1.418879189163825e-13,5.524922971325267e-13
1.2491001361838083e-12,1.0033859390024854e-12,3.838541882943244e-12
5.296691757926679e-14,5.171791665586108e-12,3.2272317040969762e-12
5.700735459254412e-13,2.830802018308761e-13,1.2564424298517905e-11
3.041003650501912e-14,8.015512604973105e-12,5.132360325733449e-12
6.401018820515338e-13,4.66293329116514e-13,7.702126185762916e-13
7.500288034073323e-14,1.862406101258897e-12,2.43109672313315e-11
1.0976726268590017e-14,1.6998617042729317e-12,3.405879006210374e-11
1.0387274259416991e-14,1.0512880448074168e-13,3.6262379302991403e-13
6.457096144993618e-14,1.867960639864055e-12,2.3426671038541467e-11
1.3350832973924955e-13,2.8267554158155925e-11,2.1252043347896024e-11
2.3664972790075118e-14,7.204254731363173e-13,3.292915364372351e-13
2.851268829960005e-14,1.3436422428759476e-12,1.0686398633635166e-11
1.7388536900109767e-12,2.1396457871665162e-12,4.4232698699999557e-11
8.292227757458042e-13,9.83467611502363e-12,4.485738267757165e-13
1.5807674688063947e-14,8.384268918932942e-13,1.2483895674501425e-12
1.3748904958645286e-12,1.6257932659279442e-12,4.4633546736134785e-11
5.164193618167074e-13,1.5521562044593248e-12,5.062336649405421e-13
1.9962461969463565e-12,1.4800449235181824e-11,2.3238622323126265e-13
2.664279856363288e-13,2.465219765729493e-12,6.747083335084268e-12
4.641552316166217e-13,1.8476975865009874e-13,2.453846590802765e-12
9.676596479386345e-13,2.311478445898861e-12,8.416070704526588e-13
1.4614374382521075e-12,3.4647463355365584e-12,1.2742832993786513e-11
7.654576777063231e-14,6.21706778019657e-12,5.159582075974165e-12
1.5574653317218923e-13,1.9684773223500547e-13,1.510643001381942e-11
1.746650090192898e-12,3.308491338763592e-13,2.581158125158183e-12
4.873539480918271e-13,2.2107020449330792e-13,2.4061786629167467e-11
6.980465974914707e-13,3.4623894748715094e-12,6.227931286323473e-11
4.833303773178452e-13,3.540209214048932e-13,7.60199119781106e-11
1.4102622365999324e-14,3.7079531817154735e-12,5.601974508494546e-11
2.52158037151195e-14,2.4735041169769413e-12,3.1102500083726463e-13
4.032700476638936e-13,1.9438553522292605e-12,9.293328333296196e-12
1.469933463632347e-14,2.480901313698728e-12,3.662801634972917e-13
2.1012394323138252e-13,1.4002291388410794e-13,2.633934296169391e-11
7.866410925286843e-15,1.3601104865344181e-12,6.561687060085879e-12
8.421366716394738e-14,4.4785050272678086e-12,5.3920898808500045e-12
4.476458379699702e-13,8.441229420868711e-12,6.248328306928964e-12
1.516175430224941e-13,7.040462382637667e-13,7.692277217584739e-13
3.9156261523583227e-13,2.2167741395740178e-13,3.837760890273171e-11
6.32520725633078e-13,9.93308167873934e-13,8.293101245428324e-12
1.3823944737540593e-13,4.0084830579137463e-13,4.890343669802487e-13
4.284490545800636e-14,5.3399608226790404e-14,1.1486336566351477e-11
4.902321121843151e-13,5.633196278089891e-13,1.3261303555939741e-11
2.3454013089968043e-13,1.1583845146072036e-11,6.26605057307571e-13
8.484929547319618e-15,1.2268967948183564e-12,2.7268756475813994e-11
2.8034395800491084e-14,3.658085667026426e-12,3.2809057753356136e-12
3.2118087089792115e-14,1.4720063108373555e-12,5.628267438321611e-13
9.495119014555196e-15,4.071098719357234e-12,6.966278959718386e-12
1.3142679640023213e-14,8.974159337531704e-13,2.8203188707211227e-12
6.527146257247415e-13,1.460176590645419e-12,5.601970841453985e-12
1.0649276557404667e-14,7.760230262750942e-12,4.669999857657209e-11
1.458479234971497e-13,4.2337721277245167e-13,1.428806080069452e-13
9.715153406272447e-14,1.266957191439766e-12,7.1485484638723954e-12
1.1190734391181503e-13,1.7930427030663775e-12,3.291102731233661e-12
8.678908055615241e-14,1.4386023452357086e-12,2.966357868494976e-11
1.9786100936402583e-13,7.095738832238829e-13,1.597782560740074e-12
2.1541502207537848e-13,2.522114632234925e-12,5.013995700484465e-12
3.8841447380898566e-14,5.945794822586109e-14,2.0917338162752267e-12
9.34487674303908e-14,3.0958858831008416e-12,3.2695861572220157e-11
1.1452226415336957e-12,1.124291754027989e-13,2.4727916313191993e-11
4.25099804882706e-13,2.0307417834642387e-11,3.5223044934037835e-11
9.233181907248488e-13,3.0820807358897554e-12,2.680471900599526e-12
4.3699914214153313e-13,9.882915129113399e-13,5.717852600178188e-12
3.171449301023771e-13,2.24980672312762e-12,2.155956740034267e-12
4.642929520945939e-13,1.9195793729095786e-13,2.3598247618976153e-12
1.0013322194230637e-12,5.793806262947394e-12,1.920766238256184e-11
1.4138033803132899e-12,4.4054402756205386e-12,5.927478218555555e-13
3.7020489923337585e-14,3.689605005757536e-12,2.909448590185961e-12
5.526844576232847e-13,1.0010303703778488e-13,3.0662785440080205e-12
3.6759426682521346e-13,2.9402175542252767e-13,1.869994087300321e-12
5.107470618221236e-13,1.058381383850361e-11,1.6570875040511922e-11
6.661383164978658e-13,2.753414201578353e-13,1.3003381394497817e-12
6.222462779531821e-14,4.245343345324371e-12,6.557542530763983e-12
6.542783137938189e-15,1.092955407639255e-12,9.084446726733657e-12
1.1446062501140113e-12,7.30051987754417e-13,1.9859519812598985e-11
9.196659297530866e-13,8.569525806041716e-12,1.4766460656048524e-11
5.405949722525526e-13,4.262466936008931e-12,5.444566470258777e-12
2.1847795285059535e-14,2.3040129067650067e-13,4.2903864144745294e-11
1.2954820525038688e-13,3.8318443185087006e-12,9.825761125454014e-12
3.134352605321382e-13,8.581544677281933e-12,5.593326983669204e-12
7.033647926595166e-14,1.8763010026124555e-12,1.3392209040535258e-12
3.780424966637971e-13,6.339300472148237e-12,8.295166088840501e-12
3.4160070814035083e-13,2.7680867328414605e-12,1.1449559686121023e-11
6.995400546711064e-13,8.833952294861966e-12,5.684774750687699e-12
4.4334552852704206e-13,8.454275828190626e-12,5.774059744482801e-11
2.600385309571854e-14,2.316248442759223e-12,2.0532490660323767e-11
1.8555738855454494e-14,9.3299201761789e-12,3.221033439651388e-12
3.5205327530507235e-13,3.130315774534712e-12,7.48288904876085e-12
5.618810799432045e-13,2.717414491551365e-12,3.557735678388049e-13
2.218566270755026e-13,1.9615010704124445e-12,1.9415385317019675e-13
2.7342276839422314e-14,8.322846903257034e-14,1.8840136821746744e-11
1.0495056888735409e-12,2.0334700020473122e-12,1.6425798811970877e-12
1.4793501033145089e-12,1.6792951073187887e-13,1.873130393289568e-12
1.6007096127964698e-14,3.923847520476726e-12,5.464089339977415e-11
2.2188177176238227e-13,4.741107350468055e-12,4.2580069071222446e-11
9.086404960745847e-13,1.0440797681812091e-13,2.2440803861325543e-11
2.5002787029824404e-13,1.5358696295603832e-12,3.3113668231500983e-11
5.578149883231592e-13,8.315552573620797e-12,3.251791155117744e-13
5.841260182546611e-13,2.1007568946379153e-13,7.539375208052831e-12
7.469977774849928e-13,1.1167686971159251e-13,5.41549309766804e-12
2.1300222016804724e-13,1.719696794897419e-11,5.4449463099194805e-12
2.6647012326024696e-13,1.8111198339195743e-11,1.1345076530924976e-11
2.271463401328903e-13,1.8138498278578935e-13,1.384924598488909e-11
