percent = 1,percent = 3,percent = 5
0.11536665089898267,0.11454040210347319,0.12172954937802036
0.11535324561101404,0.11272270472317306,0.12433465605623523
0.09921478342457876,0.09847317628230538,0.1091403157567953
0.07204236733100543,0.07180819651541118,0.07963846651997658
0.046290946190835305,0.04571924209085466,0.050600498338809766
0.0268973751747666,0.026795301752276096,0.029042508490755556
0.014785863924169435,0.014797587566727347,0.01566759754898547
0.00832556594499685,0.00854341717960483,0.008517512191572027
0.005324577934776031,0.005362677983727316,0.00528593039242216
0.003821369961994276,0.0037790517314780477,0.003909036876015456
0.002799742959227613,0.0027349296750540882,0.0029592145672208223
0.001954783500944294,0.0018958384235010224,0.002114195092108762
0.0012546310589582113,0.001214333058476311,0.0013880830525289736
0.0007332662598049175,0.0007191503910811629,0.0008681888841222503
0.0004004773893883761,0.0004225437108631181,0.0005139163758867612
0.00020324358523411755,0.00022936567190233491,0.00022737344032366084
0.00010951638420180783,0.00014276777324551322,0.00010646344451114614
6.500941519727988e-05,8.560886169801615e-05,5.797193141101681e-05
4.706239969925163e-05,6.0878798909188576e-05,4.406360584943251e-05
3.967855562037789e-05,4.4735743926805965e-05,3.825414208051604e-05
3.4791534321580185e-05,3.563916974154686e-05,3.267976640968179e-05
2.9326910268406533e-05,3.0283773841916468e-05,2.8324970168627355e-05
2.3782815389666953e-05,2.317873036809406e-05,2.2605034402598796e-05
1.828640142639628e-05,1.7297763652236834e-05,1.7192254537958244e-05
1.371162459300517e-05,1.2207306143002747e-05,1.2126747148125572e-05
9.89827702069159e-06,9.665967565643542e-06,7.896467311890858e-06
6.3310264000518326e-06,6.857871342820102e-06,8.84284076965458e-06
3.520749394385809e-06,3.973514015868462e-06,3.176571371486855e-06
1.9571023976364715e-06,3.7267327095317395e-06,1.353241967457229e-06
1.0185560667309475e-06,4.731714714320248e-06,4.404624525153525e-06
5.065340296153123e-07,1.2503094059126056e-06,1.0708959223914444e-06
4.069230272326082e-07,1.4677247270325555e-06,1.1238115296592395e-06
1.3609224379112248e-07,2.931359142990149e-07,1.4643806603956477e-06
3.487752128880227e-07,2.698430241204344e-07,2.224589552273218e-06
5.829174851498913e-07,3.30422240763095e-07,2.266649691563892e-06
5.990667983090611e-07,1.0501194250029953e-06,1.4926367323610836e-05
3.622197523951298e-07,1.9634639142688093e-07,2.6501131996347543e-05
1.9608597626064368e-07,1.9866456383187544e-07,1.837668754466727e-05
2.3285575784575644e-07,1.5720065257298504e-06,2.6655488670041675e-06
4.1931299323050744e-07,5.719842360994478e-07,3.3634473520460264e-07
1.8560375978857671e-07,4.2059505367582466e-07,3.135259457429901e-07
2.4569722571004403e-07,7.99705814027345e-07,1.0379140375795806e-06
4.971137772204722e-07,2.446751722845281e-07,6.9195083798309025e-06
7.179202441034207e-07,1.614704100342924e-06,1.594517809752992e-05
1.114679854054488e-06,1.4415929342041632e-06,2.1314992398252665e-05
1.5347247977901928e-06,1.16482785105489e-07,1.8859056032651192e-05
6.138493828108845e-07,1.804980638574131e-07,7.038264136430331e-06
8.196170074471362e-09,1.0819768199926356e-06,1.1941228182908733e-05
1.0380988065545472e-08,1.0164989515422837e-06,1.0055226129092616e-05
2.941426525453391e-07,1.5162581429707838e-07,4.8305122179423745e-06
8.122133160740428e-07,3.8288806354669646e-08,5.316529136633162e-07
4.737312934905548e-07,6.066940649338751e-07,3.094234118583207e-07
7.644626509654372e-07,1.963193162791034e-07,1.6042066082220724e-06
1.699476321496235e-07,6.463387135708801e-07,5.539461551067684e-06
6.537067740428069e-08,2.1351351620678816e-06,7.441315812664821e-07
2.040018121556913e-08,3.3378545168561297e-07,1.0401534809477177e-06
3.259828890114355e-07,1.5118900207708172e-06,1.2578349822531657e-05
6.959129716953661e-07,4.459636451859102e-06,6.420022411230077e-06
6.521742590218736e-07,2.7897394054335054e-06,1.2655663671408204e-07
8.483427552475222e-07,3.7001158596705883e-06,1.941417226572082e-06
9.151167213277757e-07,5.932581928452147e-06,2.1805360099731536e-05
7.069164330395151e-07,5.6131099976576316e-06,4.998956834889059e-05
5.755601358949838e-07,1.1092278867406106e-05,3.151148343744244e-05
1.2095705192791082e-07,4.735078984318311e-06,1.8772656782053554e-05
3.6189338883404844e-07,3.119446547494518e-06,2.035784173336311e-06
1.9911941025606357e-07,6.658954310682901e-07,4.47336188853035e-08
3.782390543260636e-09,2.1487149615432742e-08,2.2693909283831198e-07
1.6125065462973626e-07,9.23333196346887e-08,2.0397693765926675e-06
4.578777780273116e-08,2.9794135098909406e-06,5.230276073410565e-07
2.4525454085351142e-09,3.236825575376006e-06,3.8120888572351e-08
1.2307420059684418e-07,6.474146892921263e-08,4.6461403174311914e-07
1.986079909300602e-07,4.7043187968800865e-07,2.4954315780337095e-07
2.3542073385434105e-07,2.1735392927742063e-08,1.3162020096795712e-05
7.639160842347922e-07,1.448062967228431e-08,1.107872318548382e-05
6.472200627840269e-07,3.4783396017786525e-07,2.9856208273925257e-05
5.926098139840165e-07,2.546769449892766e-06,3.948158184780716e-05
3.6627597300416817e-07,3.986970791766902e-06,2.3470429796268597e-05
6.859010888622862e-08,2.93073253123874e-06,6.097909750689679e-06
1.3452545821675276e-08,1.4564562692109557e-06,6.266332375665336e-08
9.23321588613116e-09,3.394130612119607e-06,4.3119347736634665e-06
6.099380969669236e-08,1.1658538790187832e-06,9.668365817675156e-06
1.986928382754543e-07,7.951451879331084e-07,2.0453960888921893e-05
