percent = 1,percent = 3,percent = 5
1.11750188401062,1.1085431362457625,1.1172809141637372
0.04214722041219454,0.040414937350855835,0.04082698807748183
0.0004395664365197272,0.0004200525959622512,0.00033674108570924064
0.00023194169644518418,0.00038014674241065096,0.00032126541533297314
2.6440867837355422e-05,2.1501369232179824e-05,5.892455091213457e-06
3.653444158147927e-06,1.5413603471855299e-06,1.660270788879396e-06
2.793818508431234e-07,2.8969962560226144e-06,7.863017579586926e-06
3.830728269350309e-06,3.608699652904047e-05,4.5409198543464064e-05
2.55933742185369e-06,2.2254084943667335e-06,3.231474656620724e-06
3.0385052635837187e-07,2.0249469061504165e-06,9.520003026478621e-06
1.1448710833502496e-07,3.959671428060474e-06,5.015198997436607e-05
5.384062548231599e-07,4.369244368710994e-06,7.967113224053353e-06
4.183201062055004e-08,3.171019364943606e-07,1.820990798435108e-05
2.7188247817103546e-06,7.544458589694473e-07,2.7476510645592474e-05
1.4309041039097054e-06,2.3112045023896227e-05,5.28874972443244e-06
2.8303513167029866e-06,2.4970393471794466e-05,5.962268226861845e-05
4.194810319970973e-07,4.91857814998206e-07,8.556174176454983e-06
3.48767982547736e-07,1.995051517436227e-05,1.6046393143099837e-05
1.565967107187914e-06,2.3945304813957693e-05,1.2977009027583627e-05
3.6893216407114274e-07,1.5033403410737801e-06,1.6113520682352052e-05
1.8691644622885256e-06,7.413972638447266e-06,5.532610811383336e-06
1.0313508308286457e-06,1.5117404265134746e-05,1.4080060941385157e-05
3.4560427487386474e-07,8.63128157440768e-07,5.949137529091864e-05
7.07349280910144e-07,1.909262048211168e-05,3.0145977473481015e-05
1.5855049114983383e-06,8.618689915484777e-07,2.479171470139727e-06
1.1786538895128003e-06,1.1384835426511119e-05,1.9811777149021863e-06
4.2459180728486386e-07,3.020117434769352e-06,1.1643241312323017e-05
2.047164878090079e-06,2.3549602085234186e-05,3.4206277454647577e-06
4.0498842020956687e-07,1.5148927569877442e-07,2.7465942884563624e-06
5.958952157964637e-08,1.1205741536090066e-06,1.2540931620595704e-05
7.746656081274828e-07,5.805761046186947e-07,1.4024582998476541e-05
7.205640079380965e-07,1.864573734773018e-06,4.775937395884936e-05
5.569089413764322e-07,2.564882674325362e-06,7.590194607080518e-05
1.4729929421110145e-07,4.672561360919648e-06,3.6126771891708714e-06
7.347666429799439e-07,2.1821098505829088e-06,1.5435958156370305e-06
8.953609134965299e-08,2.907609660837034e-06,1.213000457456668e-05
6.998965668867482e-08,1.2136349127411112e-06,1.3524461850091364e-05
4.811194286607029e-07,3.2646498894880113e-06,9.230744727133335e-07
2.2755294704307368e-08,1.1277863897184833e-05,8.133648397502756e-06
