percent = 1,percent = 3,percent = 5
25.155202325304007,25.30568697442306,25.73072840189345
28.95142009433515,29.110236488418188,29.302758299834448
11.136065174605996,11.199363289767076,11.216868811848537
3.122771344555592,3.1265589849901083,3.1376080555423322
0.7896182539866395,0.7881135218152375,0.7926118230206493
0.19214072145395605,0.1936205920289791,0.19791157191366848
0.04456773743556937,0.04506080158961692,0.04490981167127385
0.010928814450972872,0.010391325710457918,0.011995535043072665
0.004989163725568718,0.004057408165535436,0.006384719423063231
0.003714561622988095,0.003315206919908078,0.004489812783854191
0.002809929668804567,0.002377854043067299,0.0034684519957530295
0.0016659618379186562,0.001620573598848812,0.0016291283862199517
0.0008051758795188436,0.0008313978272994283,0.0008211671245214274
0.00030785585162947674,0.0003579081012220496,0.00044314952880174365
0.00010127697854626001,0.00019147935526452994,0.00012148396887833606
3.207243640532818e-05,3.314232110778061e-05,5.588087586832496e-05
1.4705428405355215e-05,2.620273764254893e-05,1.4981057257036151e-05
1.1826071677180447e-05,1.1100173194006922e-05,1.79986158187423e-05
1.634152637272301e-05,1.0810823202029829e-05,1.0587595524806925e-05
9.851922676404299e-06,6.332288096558203e-05,2.944804433498899e-05
4.766065738593557e-06,6.5134938365207665e-06,2.1769306439583692e-06
4.076342698528625e-06,3.786349751798925e-06,4.411779444456683e-06
1.5772795650637716e-06,2.0685873461609528e-05,0.00015471881764635544
1.60236748654969e-06,1.518399601049398e-05,3.010482841136507e-06
1.4695887808028818e-06,5.022216952582954e-07,8.523500070109478e-06
2.5712433799659902e-06,7.673736686057491e-06,2.253770786861045e-05
2.8261681703478765e-06,4.262359587180414e-06,7.5117903749027896e-06
6.830456775299534e-07,5.529516260810922e-06,1.3022198602997527e-05
1.5468886107247245e-06,2.0769208731514888e-05,2.3098771649357197e-06
3.847381525986426e-06,8.485281226444821e-05,6.509440030999588e-06
1.2851596354560408e-06,1.0660416921140198e-06,1.0116800400218901e-05
1.7366695837217116e-07,1.1792218366562427e-05,1.3119281603459115e-06
4.968764142716328e-07,4.4474231746381686e-06,1.8667962802430372e-05
2.0298894527906006e-07,1.8657392629442597e-05,7.584869853819842e-06
1.576393800061624e-07,2.562985412548076e-05,1.928992042880771e-05
4.1698552310710244e-07,1.1317767370363628e-05,1.5757706239079613e-05
8.415389083997046e-07,8.551912208919824e-06,2.4927474317371644e-06
2.0334926467767271e-07,8.911571140404536e-06,4.765700896695391e-06
4.935280766560615e-07,1.6549204598399214e-05,1.644539348452622e-05
1.09495990011172e-06,3.6374908264738845e-05,8.650469466960995e-05
1.463928049690011e-06,3.103431885679439e-06,7.164826333068223e-05
5.177248642763412e-06,2.076207373963919e-05,7.328268212627565e-06
1.4936680989277388e-05,5.5191388467858576e-05,1.3102583647953319e-05
4.625357415700037e-06,6.385759398806535e-05,4.186866270950151e-05
1.3892334190132741e-07,1.5963524961746826e-05,2.9173167437997828e-06
1.676106444661309e-06,6.977469629119657e-06,7.109808677543095e-06
6.919933503175599e-07,3.91807705970023e-05,2.0993140453945526e-05
4.890336165097597e-07,6.094499903407574e-05,2.1528003377710757e-05
1.3068581420828482e-07,2.357590701679288e-05,2.6367937402726278e-06
3.0535882695374483e-06,3.4821671741291303e-07,1.7950078611478474e-05
1.1367537207479308e-05,3.748386374592699e-07,1.1853029524903216e-05
1.2076564055680579e-05,2.680486013118316e-06,0.00041922833728947516
1.0095767589157792e-05,1.0238504794190491e-06,0.0005056630515969173
6.956069902754811e-06,1.463126436516138e-06,0.0001607484860309225
6.074426024851796e-06,2.3043623746194255e-06,0.00020369139629336484
6.816184548977322e-06,1.2409691022001253e-05,7.341537133432877e-05
9.54858545736778e-08,2.9894977798206832e-05,3.1691418213901944e-05
4.782147860066693e-07,2.1021807647149972e-05,0.00010153068095807362
1.48041441294288e-06,4.4251618738635496e-05,2.7250448917748435e-05
8.829922731706087e-07,6.772221184697957e-05,8.919381583763598e-05
4.64421748236263e-06,1.611892203024311e-05,5.687976466898487e-05
2.3613580069290163e-06,6.054787603008034e-05,2.12715063870692e-05
1.0108336033311498e-06,3.315613606914819e-06,0.00013964490639016574
1.061473614201652e-06,8.106397957144533e-06,0.0001065972266450403
2.7806560445909526e-06,4.070682687884848e-05,2.2342432037615787e-05
4.787698513190099e-06,3.808233136517431e-06,6.687222991943267e-05
1.097759191094683e-06,1.5119831499015106e-05,4.6321009868125705e-05
6.823706913316794e-08,9.691288598880526e-07,5.288073878252382e-05
2.455060154089383e-07,1.870197509924911e-05,5.9588284705560125e-05
3.182530391841389e-06,1.5078551739069446e-05,2.1631940325502833e-06
4.311778552489202e-06,2.5496478392157178e-05,7.068245407331699e-05
8.827748809254827e-07,5.345609908344118e-05,7.332534924557806e-06
1.2890077825029372e-07,5.095039076527987e-05,1.2789298074909684e-05
8.358317374652796e-07,3.997795000586372e-05,4.001404514793336e-05
1.135171419539509e-06,1.2696451479206827e-06,5.4153754638572764e-06
4.754688877020196e-07,1.5016050512288801e-06,3.1667366218377245e-05
7.043825322323095e-06,1.1019921368929732e-05,3.698671407609516e-05
2.4280442327179653e-06,4.5351244594905785e-06,2.8161345810170328e-05
3.1190307256335684e-06,4.349767764558243e-05,8.555937165005103e-06
1.6168356251908835e-07,3.1040127205147735e-07,1.5435005861732256e-05
3.0377891526737163e-07,2.105104421523012e-06,3.5460111811222915e-06
2.066083108642875e-06,3.283885433680432e-06,2.2760809111107326e-06
6.948636497351171e-07,3.7682700346820904e-05,1.622116004943618e-05
3.000448802581592e-07,1.0964442792813633e-05,4.33786613266712e-06
1.6884805666560133e-06,1.6097770571412873e-06,1.518050172456456e-05
5.705280339250479e-07,2.1349353462593614e-05,1.8092102025343028e-06
6.864627944966907e-06,2.2905320553642958e-05,2.8344209087841108e-05
8.67731872954016e-06,2.513767368509082e-05,6.856763211953381e-05
1.8423759501386798e-06,3.892878227893554e-05,3.991029123400868e-06
1.255584393633583e-07,6.546141623834356e-05,1.05145818298066e-05
9.970514736608879e-08,1.21356980515616e-05,7.23356810986506e-06
1.7443877216255972e-07,1.9413663368802542e-05,0.0001142836246388941
4.454770205789701e-07,1.1659225735602348e-05,8.483622169504988e-05
9.942796318595022e-06,5.942391023270923e-05,8.085580013929265e-06
1.9695773575454152e-05,8.453124688174308e-05,3.7006641966701425e-06
5.047228001291976e-06,6.143187122802759e-05,2.8485169560706286e-06
3.0829477785708575e-06,6.723490770020466e-07,1.1169645358573164e-06
8.375098334925765e-07,1.9333197744856935e-06,1.3245627039475534e-06
3.872945774068744e-06,5.887767511868407e-07,2.922638792759523e-06
2.3571147976376625e-06,3.1421638882000527e-06,0.00013316349942279319
4.5728074298410873e-07,1.8461878989524743e-05,8.892035457268387e-05
3.7560196296956793e-07,7.800962968802642e-06,0.00010844325456658757
1.2615184266141203e-06,9.003990300802077e-07,7.0487510798513e-05
8.95195708429687e-08,4.215978658938171e-06,4.6067992644336484e-05
2.9188269958425277e-07,5.581909283710563e-06,7.710606545741343e-06
8.684142624766073e-07,5.3069052829846625e-06,6.308236288632153e-07
1.2638352101848189e-06,2.9239455859986283e-06,6.903218165148789e-07
1.7013450059084913e-06,7.0553420742172216e-06,8.471090256338882e-06
2.215382174683867e-06,5.938493857523566e-06,7.813045648212915e-05
1.9965870983788492e-07,2.641819194788626e-06,0.00022735246583923551
1.0401235547892809e-06,2.4317982804776487e-07,0.00017759315470864515
3.7834868782390296e-06,1.7069180332619133e-05,0.00013760456726823468
1.7603139417754197e-06,7.537918306034654e-05,1.168498825397917e-05
6.061942546135333e-08,7.734031116400693e-06,6.025530426868044e-05
5.86229530959413e-06,3.8152182477503793e-05,2.3398460466988017e-05
1.6299504641725062e-06,5.4586993580558656e-06,6.122721385401924e-05
7.34358145234898e-08,1.2127706686245472e-06,0.00022184295919330796
4.591552690723743e-06,5.118596990215248e-06,2.1022201335759977e-05
7.818972382999772e-06,4.958199163069803e-06,1.5592909157054246e-05
3.2113618138519234e-06,1.0828860768530633e-06,1.4795773951655717e-05
4.7417382149877043e-08,2.1305570058674835e-06,2.0933498638768806e-05
2.890202551006767e-07,3.3831271754700945e-05,4.748203169356489e-05
5.850749631397515e-06,7.103587713961184e-05,6.265627041744003e-05
2.066447961007839e-06,3.429168974338808e-05,4.011938735589266e-05
1.123406164095427e-06,4.764193781555985e-07,0.0001993944491899653
1.421606997539799e-06,1.1550143675112753e-05,0.00010528548017824113
2.302624412197051e-06,4.788400298912789e-05,1.310116249609602e-06
5.319889034027609e-06,1.574557087856527e-06,0.00014718289498884602
5.644368969327311e-06,1.379336518612874e-06,0.00025223263436679387
5.587731448809413e-07,8.660464585865514e-07,0.0002714552843968375
5.513679301558891e-07,1.4913813081579607e-05,1.1856675711720856e-05
2.0633177512658116e-06,1.9327590779321364e-05,1.148834353575464e-05
7.164611935188415e-08,6.066399232290497e-05,4.547295222819058e-05
9.300788309763453e-08,2.4200974528959605e-06,0.0002100776438229802
1.227940347749832e-07,2.652117443840949e-06,7.984305980320208e-05
3.619442485966915e-06,7.443125337708039e-06,1.1239689354607294e-05
5.277876314544201e-06,5.077920901048531e-06,1.3162470256775444e-06
1.7604170230220122e-06,6.317613813886533e-05,5.143746579998796e-06
5.242140390317531e-06,1.586287057827822e-05,1.3485695876075659e-05
1.4777545265816578e-06,2.0416859492380912e-05,1.718480713299254e-05
3.214932666817545e-07,2.8247035821693026e-05,4.507268311298418e-06
2.1963713208266824e-07,5.2876102456635115e-05,5.411869094067719e-05
1.3193796330219504e-06,6.275100233848697e-05,2.1489723828778115e-05
4.245602015604872e-06,2.2873106770147434e-05,1.064386062461868e-05
3.451987284970777e-06,7.544734657340678e-05,1.1551136000702164e-05
2.648923175660016e-06,1.4304727787018595e-05,3.1092014559796104e-05
1.1495129753408511e-07,1.0763967296114098e-06,1.9676288776954575e-05
7.426379962624843e-07,1.8652368361198654e-05,5.26661995770423e-06
1.4171645412983454e-07,1.6687175694129289e-06,4.777218638409687e-05
9.930412190826836e-08,7.008977558514278e-06,3.0405965788749312e-05
8.743173991206206e-07,2.6983417418998698e-05,2.50443218786979e-05
4.117547198050428e-07,2.7663392328979304e-05,2.057447534096612e-05
2.404892286477709e-07,6.589395696544748e-06,2.2049875894619055e-06
7.33551664583052e-07,1.714444699896454e-05,7.55494631348136e-06
3.7255007927051063e-06,4.557764617023729e-05,1.2352413467736108e-05
2.684359590908155e-07,4.895170505540241e-06,3.068536599610247e-05
1.5786907419131568e-07,8.505809429118997e-07,2.4601573840386847e-05
2.0835287449067166e-07,1.1151282632061452e-06,0.00016862050982251132
1.0527042734807794e-07,9.512128842820964e-07,2.0360116804845745e-05
1.5602401001268578e-07,1.0610197128693324e-06,3.657248609216328e-06
2.898340101220067e-07,1.2677307283501494e-05,3.927436821282558e-05
1.0466212205052047e-06,2.7445390121823063e-06,1.5334247965918133e-05
9.035542691476976e-07,3.924019215933203e-06,7.60693591985046e-05
1.4145267825236221e-06,5.686009538082544e-06,0.0001054016094217508
